FORM ID,DATE START,DATE END,LOCATION ID,LOCATION NAME,COUNTRY NAME,EMERGENCY / POST-EMERGENCY,NUMBER OF PERSONS PER USABLE HANDPUMP / WELL / SPRING,NUMBER OF PERSONS PER USABLE WATER TAP,AVERAGE # LITERS OF POTABLE WATER AVAILABLE PER PERSON PER DAY,% WATER QUALITY TESTS AT NON CHLORINATED WATER COLLECTION LOCATIONS WITH 0 CFU/100ML,% OF WATER QUALITY TESTS AT CHLORINATED COLLECTION LOCATIONS WITH FRC IN THE RANGE 0.2-2MG/L AND TURBIDITY <5NTU5,NUMBER OF PERSONS PER TOILET/LATRINE,NUMBER OF PERSONS PER BATH SHELTER/SHOWER,NUMBER OF PERSONS PER HYGIENE PROMOTER,REFUGEE POPULATION,REPORTING PERIOD - MONTHLY INDICATOR,AVERAGE # L/P/D OF POTABLE WATER COLLECTED AT HOUSEHOLD LEVEL,% HOUSEHOLDS WITH AT LEAST 10 LITERS/PERSON POTABLE WATER STORAGE CAPACITY,% HOUSEHOLDS COLLECTING DRINKING WATER FROM PROTECTED/TREATED SOURCES,% HOUSEHOLDS WITH HOUSEHOLD TOILET/LATRINE,% HOUSEHOLDS REPORTING DEFECATING IN A TOILET,% HOUSEHOLDS WITH ACCESS TO SOAP,% HOUSEHOLDS WITH ACCESS TO SOLID WASTE DISPOSAL FACILITY,REPORTING PERIOD - ANNUAL INDICATOR
649465,1/29/2018,2/25/2018,403,Za'atri,Jordan,Post-emergency,,4,36,,,4,4,,78989,2/1/2018,,,,,,,,
648726,1/1/2018,1/28/2018,427,Azraq,Jordan,Post-emergency,,44,25,100,100,18,1854,,53782,1/1/2018,,,,,,,,
649420,1/1/2018,1/28/2018,403,Za'atri,Jordan,Post-emergency,,4,36,100,100,4,4,,78994,1/1/2018,,,,,,,,
1595158,1/1/2017,12/31/2017,572,Amboko,Chad,,,,,,,,,,,,42,,100,76,83,85,,
1595117,1/1/2017,12/31/2017,573,Amnabak,Chad,,,,,,,,,,,,11,,90,35,93,81,,
1595159,1/1/2017,12/31/2017,600,Belom,Chad,,,,,,,,,,,,45,,99,65.3,82,85,,
1595076,1/1/2017,12/31/2017,574,Bredjing,Chad,,,,,,,,,,,,12.5,,99,50,41,93,,
1595166,1/1/2017,12/31/2017,484,Dar Es Salam,Chad,,,,,,,,,,,,30,,100,23.16,68,75,,
1595153,1/1/2017,12/31/2017,575,Djabal,Chad,,,,,,,,,,,,20,,100,45,91,66,,
1595165,1/1/2017,12/31/2017,483,Doholo,Chad,,,,,,,,,,,,49,,100,73,80,80,,
1595160,1/1/2017,12/31/2017,576,Dosseye,Chad,,,,,,,,,,,,54,,100,67,80,83,,
1595110,1/1/2017,12/31/2017,577,Farchana,Chad,,,,,,,,,,,,16,,100,47,46,98,,
1595116,1/1/2017,12/31/2017,578,Gaga,Chad,,,,,,,,,,,,15.5,,100,50,50,97,,
1595163,1/1/2017,12/31/2017,579,Gondje,Chad,,,,,,,,,,,,52,,99,67.66,72,75,,
1595154,1/1/2017,12/31/2017,580,Goz Amer,Chad,,,,,,,,,,,,20,,93,47,86,71,,
1595149,1/1/2017,12/31/2017,581,Iridimi,Chad,,,,,,,,,,,,14,,99,32,88,76,,
1595155,1/1/2017,12/31/2017,482,Kerfi,Chad,,,,,,,,,,,,36,,100,34,,,,
1595151,1/1/2017,12/31/2017,582,Kounoungou,Chad,,,,,,,,,,,,17,,100,36.4,99,77,,
1595150,1/1/2017,12/31/2017,583,Mile,Chad,,,,,,,,,,,,13,,100,42,88,76,,
1595164,1/1/2017,12/31/2017,599,Moyo,Chad,,,,,,,,,,,,38,,99,66.83,84,80,,
1595152,1/1/2017,12/31/2017,584,Oure Cassoni,Chad,,,,,,,,,,,,17,,100,44.1,96,74,,
1595118,1/1/2017,12/31/2017,585,Touloum,Chad,,,,,,,,,,,,13,,97,35.8,78,84,,
1595077,1/1/2017,12/31/2017,586,Treguine,Chad,,,,,,,,,,,,11,,90,65,63,96,,
1324737,1/1/2017,12/31/2017,538,Adi Harush,Ethiopia,,,,,,,,,,,,6.7,73.6,98.3,90.2,93.6,97.7,91,12/19/2017
1624585,1/1/2017,12/31/2017,527,Fugnido,Ethiopia,,,,,,,,,,,,14.3,,100,,86,54,23,12/15/2017
1624586,1/1/2017,12/31/2017,497,Fugnido 2,Ethiopia,,,,,,,,,,,,20.7,,100,,97,74,45,1/15/2017
1217159,1/1/2017,12/31/2017,435,Hitsats,Ethiopia,,,,,,,,,,,,11.8,38.6,77,74,93,95.9,98.8,12/24/2017
1624584,1/1/2017,12/31/2017,450,Kule,Ethiopia,,,,,,,,,,,,9.4,,100,93,94,66,48,12/15/2017
1325264,1/1/2017,12/31/2017,534,Mai Aini,Ethiopia,,,,,,,,,,,,10.7,76.5,99.5,85,87,99,98,12/27/2017
1624582,1/1/2017,12/31/2017,4015,Ngueyyiel,Ethiopia,,,,,,,,,,,,11.9,49.4,100,7,59,86,16,5/3/2017
1325691,1/1/2017,12/31/2017,529,Shimelba,Ethiopia,,,,,,,,,,,,26.9,,100,80,97,100,77,12/29/2017
1624614,1/1/2017,12/31/2017,546,Tierkidi,Ethiopia,,,,,,,,,,,,10.8,,100,92,95,57,60,12/15/2017
1304699,1/1/2017,12/31/2017,445,Arbat,Iraq,,,,,,,,,,,,100,100,74.8,100,100,,100,12/31/2017
1321364,1/1/2017,12/31/2017,427,Azraq,Jordan,,,,,,,,,,,,,,96,,100,100,,1/31/2017
1321554,1/1/2017,12/31/2017,518,Dagahaley,Kenya,,,,,,,,,,,,35.8,,99,,67,82,29,3/31/2017
1321553,1/1/2017,12/31/2017,520,Ifo,Kenya,,,,,,,,,,,,35.8,,99,,67,82,29,3/31/2017
1255249,1/1/2017,12/31/2017,3926,Sayam Forage Camp,Niger,,,,,,,,,,,,28.7,80,10,94,70,70,89,12/28/2017
2147359,1/1/2017,12/31/2017,686,Ajoung Thok,South Sudan,,,,,,,,,,,,19,,100,77.83,79,54,,11/1/2017
2147360,1/1/2017,12/31/2017,3886,Pamir,South Sudan,,,,,,,,,,,,20,,100,60.55,74,64,,11/1/2017
1261666,1/1/2016,12/31/2016,463,Auserd,Algeria,,,,,,,,,,,,11,89,98,96,97,79,98,11/5/2016
1261667,1/1/2016,12/31/2016,464,Boujdour,Algeria,,,,,,,,,,,,10,89,98,96,97,79,98,11/5/2016
1261752,1/1/2016,12/31/2016,465,Dakhla,Algeria,,,,,,,,,,,,45,89,98,96,97,79,98,11/5/2016
1262113,1/1/2016,12/31/2016,466,Layounne,Algeria,,,,,,,,,,,,8,89,98,96,97,79,98,11/5/2016
1262133,1/1/2016,12/31/2016,467,Smara,Algeria,,,,,,,,,,,,24,89,98,96,97,79,98,11/5/2016
1324739,1/1/2016,12/31/2016,538,Adi Harush,Ethiopia,,,,,,,,,,,,14.6,,98,,89,97,86,12/31/2016
1325265,1/1/2016,12/31/2016,534,Mai Aini,Ethiopia,,,,,,,,,,,,15.4,,,81,,,93,12/31/2016
1321363,1/1/2016,12/31/2016,427,Azraq,Jordan,,,,,,,,,,,,,,96,,99,100,,1/31/2016
1736582,1/1/2016,12/31/2016,696,Abala,Niger,,,,,,,,,,,,20.3,22.97,100,13.51,71,55,80,12/7/2016
1324691,1/1/2016,12/31/2016,419,Intékan,Niger,,,,,,,,,,,,80.58,100,0.97,64,29,29,14,11/26/2016
1736583,1/1/2016,12/31/2016,694,Mangaizé,Niger,,,,,,,,,,,,15.8,44.83,94,17.24,76,52,85,12/7/2016
1322994,1/1/2016,12/31/2016,697,Tabareybarey,Niger,,,,,,,,,,,,16.9,46.08,100,1.47,91,50,81,12/7/2016
1325515,1/1/2015,12/31/2015,534,Mai Aini,Ethiopia,,,,,,,,,,,,15.19,,,89,,,97,12/31/2015
1321362,1/1/2015,12/31/2015,403,Za'atri,Jordan,,,,,,,,,,,,34.37,,51,,,97,98,
1321380,1/1/2015,12/31/2015,518,Dagahaley,Kenya,,,,,,,,,,,,,,99.5,69.8,87.9,,56,3/1/2015
1321379,1/1/2015,12/31/2015,520,Ifo,Kenya,,,,,,,,,,,,,,99.5,69.8,87.6,,56,3/1/2015
,,,,,,,,,,,,,,,,,,,,,,,,
Emergency status total,31,,,,,,,,,,,,,,,,,,,,,,,
Post-emergency status total,660,,,,,,,,,,,,,,,,,,,,,,,
